cenario,replication,test,servidor,resultado
cenario2,replication6,Wait Time Per Entity,Servidor 4,0.2566
cenario2,replication6,Waiting Time,Servidor 1.Queue,0.06826817
cenario2,replication6,Waiting Time,Servidor 2.Queue,0.2014
cenario2,replication6,Waiting Time,Servidor 3.Queue,0.00448124
cenario2,replication6,Waiting Time,Servidor 4.Queue,0.05149845
cenario2,replication6,Number Waiting,Servidor 1.Queue,0.06940597
cenario2,replication6,Number Waiting,Servidor 2.Queue,0.1873
cenario2,replication6,Number Waiting,Servidor 3.Queue,0.00094106
cenario2,replication6,Number Waiting,Servidor 4.Queue,0.03707888
cenario2,replication6,Instantaneous Utilization,Resource Server 1,0.2183
cenario2,replication6,Instantaneous Utilization,Resource Server 2,0.3620
cenario2,replication6,Instantaneous Utilization,Resource Server 3,0.03426796
cenario2,replication6,Instantaneous Utilization,Resource Server 4,0.1477
cenario2,replication7,Wait Time Per Entity,Servidor 1,0.2362
cenario2,replication7,Wait Time Per Entity,Servidor 2,0.7114
cenario2,replication7,Wait Time Per Entity,Servidor 3,0.2093
cenario2,replication7,Wait Time Per Entity,Servidor 4,0.2317
cenario2,replication7,Waiting Time,Servidor 1.Queue,0.04887895
cenario2,replication7,Waiting Time,Servidor 2.Queue,0.3052
cenario2,replication7,Waiting Time,Servidor 3.Queue,0.00454228
cenario2,replication7,Waiting Time,Servidor 4.Queue,0.05099591
cenario2,replication7,Number Waiting,Servidor 1.Queue,0.05360392
cenario2,replication7,Number Waiting,Servidor 2.Queue,0.2993
cenario2,replication7,Number Waiting,Servidor 3.Queue,0.00093874
cenario2,replication7,Number Waiting,Servidor 4.Queue,0.03909686
cenario2,replication7,Instantaneous Utilization,Resource Server 1,0.2047
cenario2,replication7,Instantaneous Utilization,Resource Server 2,0.3961
cenario2,replication7,Instantaneous Utilization,Resource Server 3,0.04231103
cenario2,replication7,Instantaneous Utilization,Resource Server 4,0.1386
cenario2,replication8,Wait Time Per Entity,Servidor 1,0.2928
cenario2,replication8,Wait Time Per Entity,Servidor 2,0.8234
cenario2,replication8,Wait Time Per Entity,Servidor 3,0.2276
cenario2,replication8,Wait Time Per Entity,Servidor 4,0.2612
cenario2,replication8,Waiting Time,Servidor 1.Queue,0.08979368
cenario2,replication8,Waiting Time,Servidor 2.Queue,0.3569
cenario2,replication8,Waiting Time,Servidor 3.Queue,0.00873681
cenario2,replication8,Waiting Time,Servidor 4.Queue,0.05155534
cenario2,replication8,Number Waiting,Servidor 1.Queue,0.1089
cenario2,replication8,Number Waiting,Servidor 2.Queue,0.3851
cenario2,replication8,Number Waiting,Servidor 3.Queue,0.00200947
cenario2,replication8,Number Waiting,Servidor 4.Queue,0.04347834
cenario2,replication8,Instantaneous Utilization,Resource Server 1,0.2463
cenario2,replication8,Instantaneous Utilization,Resource Server 2,0.5011
cenario2,replication8,Instantaneous Utilization,Resource Server 3,0.05011200
cenario2,replication8,Instantaneous Utilization,Resource Server 4,0.1768
cenario2,replication9,Wait Time Per Entity,Servidor 1,0.2566
cenario2,replication9,Wait Time Per Entity,Servidor 2,0.6243
cenario2,replication9,Wait Time Per Entity,Servidor 3,0.2467
cenario2,replication9,Wait Time Per Entity,Servidor 4,0.2466
cenario2,replication9,Waiting Time,Servidor 1.Queue,0.04447335
cenario2,replication9,Waiting Time,Servidor 2.Queue,0.1976
cenario2,replication9,Waiting Time,Servidor 3.Queue,0.03192966
cenario2,replication9,Waiting Time,Servidor 4.Queue,0.03399972
cenario2,replication9,Number Waiting,Servidor 1.Queue,0.04491809
cenario2,replication9,Number Waiting,Servidor 2.Queue,0.1792
