cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id,tempo_bd,tempo_rede
1.226580055,1.226580055,4260298752,4260298752,1471542304077,1471542304079,1471542179567,1471542179652,cadastro,cadastro 84,2,83
1.22658296,1.226588804,4260298752,4260298752,1471542304129,1471542304131,1471542179617,1471542179704,cadastro,cadastro 85,2,85
1.226586085,1.226586085,4260298752,4260298752,1471542304177,1471542304179,1471542179668,1471542179752,cadastro,cadastro 86,2,82
1.226595422,1.226595349,4260298752,4260298752,1471542304226,1471542304228,1471542179716,1471542179800,cadastro,cadastro 87,2,82
1.226592262,1.226604025,4260679680,4260679680,1471542304279,1471542304280,1471542179767,1471542179852,cadastro,cadastro 88,1,84
1.226607517,1.22660737,4260679680,4260679680,1471542304329,1471542304331,1471542179816,1471542179904,cadastro,cadastro 89,2,86
1.226610569,1.226616487,4260679680,4260679680,1471542304377,1471542304379,1471542179867,1471542179952,cadastro,cadastro 90,2,83
1.226619612,1.226625456,4260679680,4260679680,1471542304425,1471542304427,1471542179916,1471542180000,cadastro,cadastro 91,2,82
1.226628875,1.226628728,4260679680,4260679680,1471542304477,1471542304479,1471542179967,1471542180052,cadastro,cadastro 92,2,83
1.226625715,1.226625715,4260679680,4260679680,1471542304529,1471542304531,1471542180017,1471542180104,cadastro,cadastro 93,2,85
1.226629134,1.226635052,4260679680,4260679680,1471542304577,1471542304579,1471542180067,1471542180152,cadastro,cadastro 94,2,83
1.226632112,1.226632039,4260679680,4260679680,1471542304629,1471542304631,1471542180117,1471542180204,cadastro,cadastro 95,2,85
1.226629173,1.226635017,4260679680,4260679680,1471542304681,1471542304683,1471542180167,1471542180256,cadastro,cadastro 96,2,87
1.226638436,1.226638436,4260679680,4260679680,1471542304728,1471542304730,1471542180216,1471542180304,cadastro,cadastro 97,2,86
1.226641635,1.226647405,4260679680,4260679680,1471542304777,1471542304779,1471542180266,1471542180352,cadastro,cadastro 98,2,84
1.226650677,1.226650677,4260679680,4260679680,1471542304829,1471542304831,1471542180317,1471542180404,cadastro,cadastro 99,2,85
1.226647591,1.226647591,4260679680,4260679680,1471542304881,1471542304884,1471542180367,1471542180456,cadastro,cadastro 100,3,86
1.22665101,1.22665678,4260679680,4261060608,1471542304928,1471542304931,1471542180416,1471542180504,cadastro,cadastro 101,3,85
1.226660199,1.226660052,4261314560,4261314560,1471542304977,1471542304979,1471542180468,1471542180552,cadastro,cadastro 102,2,82
1.226668948,1.226668948,4261314560,4261314560,1471542305029,1471542305031,1471542180517,1471542180604,cadastro,cadastro 103,2,85
1.226666449,1.226672367,4261314560,4261314560,1471542305077,1471542305079,1471542180567,1471542180652,cadastro,cadastro 104,2,83
1.226669721,1.226681557,4261314560,4261314560,1471542305125,1471542305127,1471542180616,1471542180700,cadastro,cadastro 105,2,82
1.226678617,1.226678543,4261314560,4261314560,1471542305177,1471542305179,1471542180667,1471542180752,cadastro,cadastro 106,2,83
1.226681742,1.226681668,4261314560,4261314560,1471542305229,1471542305231,1471542180716,1471542180804,cadastro,cadastro 107,2,86
