cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id
1.226542442443943,1.226542442443943,4260298752,4260298752,1471542303581,1471542303583,1471542179068,1471542179156,CADASTRO,Cadastro 74
1.2265397968614735,1.2265397233732358,4260298752,4260298752,1471542303628,1471542303629,1471542179116,1471542179204,CADASTRO,Cadastro 75
1.226536930826697,1.2265368573388002,4260298752,4260298752,1471542303677,1471542303679,1471542179168,1471542179252,CADASTRO,Cadastro 76
1.2265401297742926,1.226551818782653,4260298752,4260298752,1471542303729,1471542303731,1471542179217,1471542179304,CADASTRO,Cadastro 77
1.2265493201751099,1.2265490262219458,4260298752,4260298752,1471542303777,1471542303779,1471542179267,1471542179352,CADASTRO,Cadastro 78
1.226552372103285,1.2265582900680556,4260298752,4260298752,1471542303829,1471542303831,1471542179317,1471542179404,CADASTRO,Cadastro 79
1.2265614154559046,1.2265614154559046,4260298752,4260298752,1471542303877,1471542303879,1471542179367,1471542179452,CADASTRO,Cadastro 80
1.2265643938517883,1.2265643938517883,4260298752,4260298752,1471542303929,1471542303931,1471542179416,1471542179504,CADASTRO,Cadastro 81
1.2265677396765255,1.2265676661878189,4260171776,4260171776,1471542303977,1471542303979,1471542179467,1471542179556,CADASTRO,Cadastro 82
1.2265647266464157,1.2265824068788902,4260298752,4260298752,1471542304029,1471542304031,1471542179517,1471542179604,CADASTRO,Cadastro 83
1.226580055222584,1.226580055222584,4260298752,4260298752,1471542304077,1471542304079,1471542179567,1471542179652,CADASTRO,Cadastro 84
1.2265829600560778,1.226588804445882,4260298752,4260298752,1471542304129,1471542304131,1471542179617,1471542179704,CADASTRO,Cadastro 85
1.2265860853422907,1.2265860853422907,4260298752,4260298752,1471542304177,1471542304179,1471542179668,1471542179752,CADASTRO,Cadastro 86
1.226595422423145,1.2265953489336283,4260298752,4260298752,1471542304226,1471542304228,1471542179716,1471542179800,CADASTRO,Cadastro 87
1.2265922623817431,1.2266040245649066,4260679680,4260679680,1471542304279,1471542304280,1471542179767,1471542179852,CADASTRO,Cadastro 88
1.226607517228615,1.2266073702488427,4260679680,4260679680,1471542304329,1471542304331,1471542179816,1471542179904,CADASTRO,Cadastro 89
1.2266105689385256,1.2266164867469769,4260679680,4260679680,1471542304377,1471542304379,1471542179867,1471542179952,CADASTRO,Cadastro 90
1.226619611918153,1.2266254562212708,4260679680,4260679680,1471542304425,1471542304427,1471542179916,1471542180000,CADASTRO,Cadastro 91
1.2266288753263836,1.2266287283450765,4260679680,4260679680,1471542304477,1471542304479,1471542179967,1471542180052,CADASTRO,Cadastro 92
1.2266257152360964,1.2266257152360964,4260679680,4260679680,1471542304529,1471542304531,1471542180017,1471542180104,CADASTRO,Cadastro 93
1.226629134324682,1.2266350520770857,4260679680,4260679680,1471542304577,1471542304579,1471542180067,1471542180152,CADASTRO,Cadastro 94
1.226632112456798,1.2266320389664713,4260679680,4260679680,1471542304629,1471542304631,1471542180117,1471542180204,CADASTRO,Cadastro 95
1.2266291728505934,1.2266350170839502,4260679680,4260679680,1471542304681,1471542304683,1471542180167,1471542180256,CADASTRO,Cadastro 96
1.2266384361288516,1.2266384361288516,4260679680,4260679680,1471542304728,1471542304730,1471542180216,1471542180304,CADASTRO,Cadastro 97
1.2266416346882068,1.226647405403071,4260679680,4260679680,1471542304777,1471542304779,1471542180266,1471542180352,CADASTRO,Cadastro 98
1.2266506774248995,1.2266506774248995,4260679680,4260679680,1471542304829,1471542304831,1471542180317,1471542180404,CADASTRO,Cadastro 99
1.2266475908207042,1.2266475908207042,4260679680,4260679680,1471542304881,1471542304884,1471542180367,1471542180456,CADASTRO,Cadastro 100
1.2266510098074974,1.2266567804802264,4260679680,4261060608,1471542304928,1471542304931,1471542180416,1471542180504,CADASTRO,Cadastro 101
